2026-04-15 15:29:49,559 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-15 15:29:49,562 | INFO | apscheduler.scheduler | Added job "run_followups" to job store "default"
2026-04-15 15:29:49,562 | INFO | apscheduler.scheduler | Scheduler started
2026-04-15 15:29:49,562 | INFO | __main__ | Bot starting...
2026-04-15 15:29:49,562 | INFO | __main__ | Admin IDs: [733400880, 58591930]
2026-04-15 15:29:49,563 | INFO | aiogram.dispatcher | Start polling
2026-04-15 15:29:49,666 | INFO | aiogram.dispatcher | Run polling for bot @mqsd_agency_bot id=8696591670 - 'MQSD'
2026-04-15 15:50:51,759 | INFO | aiogram.event | Update id=55765856 is handled. Duration 495 ms by bot id=8696591670
2026-04-15 16:05:20,554 | WARNING | aiogram.dispatcher | Received SIGTERM signal
2026-04-15 16:05:20,556 | INFO | aiogram.dispatcher | Polling stopped for bot @mqsd_agency_bot id=8696591670 - 'MQSD'
2026-04-15 16:05:20,557 | INFO | aiogram.dispatcher | Polling stopped
2026-04-15 16:05:20,810 | INFO | apscheduler.scheduler | Scheduler has been shut down
Traceback (most recent call last):
  File "/Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/runpy.py", line 197, in _run_module_as_main
    return _run_code(code, main_globals, None,
  File "/Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/runpy.py", line 87, in _run_code
    exec(code, run_globals)
  File "/Users/yusufbek/Desktop/telegram-lead-bot/bot/main.py", line 17, in <module>
    from bot.handlers import start, menu, contact, ai_chat, admin, twa, live_chat
  File "/Users/yusufbek/Desktop/telegram-lead-bot/bot/handlers/live_chat.py", line 85, in <module>
    async def _notify_managers(bot, lead: dict, message_text: str | None):
TypeError: unsupported operand type(s) for |: 'type' and 'NoneType'
2026-04-15 16:05:41,122 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-15 16:05:41,124 | INFO | apscheduler.scheduler | Added job "run_followups" to job store "default"
2026-04-15 16:05:41,124 | INFO | apscheduler.scheduler | Scheduler started
2026-04-15 16:05:41,124 | INFO | __main__ | Bot starting...
2026-04-15 16:05:41,124 | INFO | __main__ | Admin IDs: [733400880, 58591930]
